"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"31",425794,"Wainwright, Adam","2021-07-01","110","28.2","0.333","0.333","0.333","0.667","0.418","0.414","0.297","3","9","88.2","19.7","2827","74.4","74.41","5","13","18","0.0","6.35","110","152","119","148","311","336","301"
"31",594835,"Gonzales, Marco","2021-07-25","105","29.5","0.000","0.000","0.000","0.000","0.138","0.237","0.118","0","4","82.0","38.0","2285","75.1","75.06","5","19","12","0.0","6.23","107","153","118","147","298","315","283"
"31",425794,"Wainwright, Adam","2021-04-20","100","31.0","0.375","0.500","0.400","0.875","0.516","0.360","0.317","3","8","86.9","9.0","2817","73.5","73.10","5","14","17","-0.4","6.53","112","159","116","149","298","321","306"
"31",608331,"Fried, Max","2021-09-19","99","31.3","0.125","0.000","0.200","0.125","0.110","0.135","0.145","1","8","75.7","19.6","2642","74.0","73.66","6","16","15","-0.3","6.22","106","154","121","149","306","324","287"
"31",664192,"Lucchesi, Joey","2021-06-18","90","34.4","0.333","0.000","0.667","0.333","0.293","0.268","0.284","2","6","86.8","9.7","2066","79.0","79.63","1","13","18","0.6","6.38","110","155","114","149","303","323","309"
"31",518516,"Bumgarner, Madison","2021-08-13","103","30.1","0.231","0.231","0.222","0.462","0.290","0.218","0.207","3","13","80.7","-5.4","2220","76.8","76.59","3","18","13","-0.2","6.42","109","156","112","152","299","326","297"
"31",666120,"Anderson, Ian","2021-09-10","89","34.8","0.286","0.000","0.667","0.286","0.306","0.290","0.244","2","7","89.6","-13.3","1975","80.2","81.14","13","21","10","0.9","6.91","108","156","121","144","309","326","294"
"30",664285,"Valdez, Framber","2021-06-02","102","29.4","0.000","0.000","0.000","0.000","0.000","0.013","0.013","0","8","76.7","18.0","2952","79.2","78.01","9","14","16","-1.2","5.91","110","154","123","152","292","328","294"
"30",661269,"Gutierrez, Vladimir","2021-06-14","110","27.3","0.250","0.250","0.250","0.500","0.310","0.097","0.092","1","4","80.9","30.3","2541","76.6","76.51","0","8","22","-0.1","6.44","120","161","125","152","294","312","307"
"30",607536,"Freeland, Kyle","2021-08-21","90","33.3","0.091","0.000","0.500","0.091","0.131","0.134","0.083","1","11","94.6","-10.0","2472","80.7","81.49","11","16","14","0.8","6.41","110","154","122","144","313","336","303"
"30",425794,"Wainwright, Adam","2021-08-28","93","32.3","0.100","0.000","0.167","0.100","0.088","0.210","0.216","1","10","91.8","6.0","2837","72.2","71.54","5","15","15","-0.7","6.22","127","164","119","149","294","312","290"
"30",425794,"Wainwright, Adam","2021-09-18","93","32.3","0.625","0.000","0.625","0.625","0.549","0.373","0.405","5","8","86.9","8.8","2858","73.3","72.70","1","14","16","-0.6","6.37","111","160","111","146","300","326","305"
"30",664285,"Valdez, Framber","2021-07-18","97","30.9","0.273","0.091","0.429","0.364","0.342","0.319","0.262","3","11","87.2","-6.1","2891","78.7","78.13","4","12","18","-0.6","5.88","105","154","113","147","302","323","287"
"30",571760,"Heaney, Andrew","2021-08-18","108","27.8","0.000","0.000","0.000","0.000","0.000","0.143","0.144","0","5","75.3","19.0","2551","79.1","78.29","3","10","20","-0.8","5.91","109","151","139","138","306","323","284"
"30",628711,"Urías, Julio","2021-09-10","94","31.9","0.000","0.000","0.000","0.000","0.000","0.245","0.150","0","10","86.8","35.0","2934","81.6","80.45","3","16","14","-1.1","5.50","106","152","104","149","292","310","286"
"30",607536,"Freeland, Kyle","2021-09-23","97","30.9","0.444","0.111","0.667","0.556","0.431","0.267","0.272","4","9","82.2","5.7","2482","80.9","81.66","6","16","14","0.8","6.35","109","150","121","142","297","333","303"
"30",628711,"Urías, Julio","2021-06-10","86","34.9","0.200","0.300","0.167","0.500","0.289","0.222","0.197","2","10","84.0","26.7","2873","81.2","80.27","3","12","18","-0.9","5.58","114","149","113","149","299","307","289"
"30",446372,"Kluber, Corey","2021-09-30","83","36.1","0.143","0.000","0.167","0.143","0.126","0.206","0.217","1","7","80.0","15.7","2546","81.9","81.59","3","17","13","-0.3","6.28","111","152","121","150","305","323","289"
"30",450203,"Morton, Charlie","2021-08-07","85","35.3","0.100","0.000","0.250","0.100","0.088","0.144","0.149","1","10","86.5","-4.0","3130","80.8","80.35","8","17","13","-0.4","6.26","114","150","119","147","302","325","297"
"30",669203,"Burnes, Corbin","2021-08-17","89","33.7","0.000","0.000","0.000","0.000","0.000","0.084","0.091","0","7","87.7","47.6","2893","81.6","81.72","5","13","17","0.1","6.35","104","152","115","147","308","327","301"
"30",543243,"Gray, Sonny","2021-05-22","96","31.3","0.200","0.000","0.333","0.200","0.176","0.217","0.202","1","5","94.9","2.3","2839","80.5","80.33","1","12","18","-0.2","6.36","112","162","122","148","285","317","291"
"30",628711,"Urías, Julio","2021-04-10","95","31.6","0.500","0.000","0.500","0.500","0.440","0.374","0.407","3","6","81.0","21.2","2903","82.2","81.06","2","15","15","-1.1","5.39","103","156","115","147","299","312","285"
"30",621244,"Berríos, José","2021-09-29","98","30.6","0.167","0.000","0.333","0.167","0.147","0.206","0.155","1","6","83.8","7.3","2288","81.8","81.11","3","9","21","-0.7","6.29","112","156","133","149","303","326","297"
"30",680686,"Gray, Josiah","2021-09-05","82","36.6","0.000","0.000","0.000","0.000","0.000","0.183","0.161","0","4","87.3","11.5","2408","84.3","83.45","3","13","17","-0.8","5.43","118","160","120","143","296","329","293"
"30",543135,"Eovaldi, Nathan","2021-09-08","98","30.6","0.111","0.000","0.200","0.111","0.157","0.176","0.115","1","9","80.1","10.8","1978","79.2","79.80","8","15","15","0.6","6.60","119","159","115","150","271","322","316"
"30",571927,"Matz, Steven","2021-06-12","111","27.0","0.111","0.000","0.250","0.111","0.160","0.114","0.041","1","9","81.9","35.8","2263","77.6","77.47","7","13","17","-0.1","6.25","108","155","129","143","284","315","298"
"30",605397,"Musgrove, Joe","2021-08-27","111","27.0","0.000","0.000","0.000","0.000","0.077","0.126","0.058","0","8","77.4","-8.2","2954","83.1","82.29","7","14","16","-0.8","5.92","119","154","123","151","308","328","310"
"30",593334,"Germán, Domingo","2021-05-15","80","37.5","0.000","0.000","0.000","0.000","0.099","0.143","0.057","0","6","80.7","20.5","2617","81.4","81.05","11","14","16","-0.3","6.14","113","151","116","150","286","321","294"
"30",450203,"Morton, Charlie","2021-09-05","89","33.7","0.000","0.000","0.000","0.000","0.000","0.100","0.103","0","8","81.9","16.7","3099","81.1","81.23","4","16","14","0.1","6.14","111","157","148","135","304","347","314"
"30",608331,"Fried, Max","2021-08-08","105","28.6","0.286","0.000","0.400","0.286","0.251","0.186","0.201","2","7","70.3","2.8","2587","74.4","74.07","4","15","15","-0.3","6.25","106","152","112","147","302","321","289"
"29",640444,"Crowe, Wil","2021-06-25","89","32.6","0.000","0.000","0.000","0.000","0.072","0.218","0.172","0","9","90.4","2.1","2459","80.6","80.84","4","15","14","0.2","6.50","112","148","114","148","301","315","287"
"29",448179,"Hill, Rich","2021-06-29","82","35.4","0.273","0.091","0.273","0.364","0.273","0.368","0.368","3","11","80.0","14.0","2520","70.1","69.34","0","15","14","-0.8","5.96","100","150","117","147","306","325","296"
"29",657053,"Toussaint, Touki","2021-07-25","90","32.2","0.143","0.000","0.500","0.143","0.126","0.125","0.134","1","7","92.6","3.5","2335","76.6","76.98","8","14","15","0.4","6.81","110","155","132","148","300","319","285"
"29",669674,"Long, Sam","2021-06-09","69","42.0","0.000","0.000",,"0.000","0.000","0.000",,"0","4",,,"2521","76.6","75.68","6","16","13","-0.9","5.76","113","155","119","148","294","322","297"
"29",621244,"Berríos, José","2021-05-02","95","30.5","0.143","0.000","0.333","0.143","0.126","0.188","0.184","1","7","97.4","15.0","2378","83.9","83.50","6","12","17","-0.4","6.29","101","156","118","148","307","329","297"
"29",543243,"Gray, Sonny","2021-04-28","95","30.5","0.000","0.000","0.000","0.000","0.000","0.080","0.086","0","5","103.1","-3.0","2787","81.0","80.87","11","14","15","-0.1","6.44","113","155","113","151","303","320","294"
"29",663460,"Bubic, Kris","2021-07-06","100","29.0","0.375","0.625","0.400","1.000","0.557","0.281","0.207","3","8","79.4","-3.2","2653","78.0","77.87","5","14","15","-0.1","6.29","98","150","115","143","301","323","316"
"29",664285,"Valdez, Framber","2021-08-28","85","34.1","0.000","0.000","0.000","0.000","0.066","0.169","0.119","0","10","81.6","-15.7","2891","78.1","76.77","7","13","16","-1.3","5.71","108","155","111","148","305","324","289"
"29",450203,"Morton, Charlie","2021-06-11","84","34.5","0.333","0.000","0.500","0.333","0.293","0.158","0.162","2","6","80.8","4.5","3020","80.9","80.39","5","13","16","-0.5","6.31","102","149","115","143","304","311","289"
"29",669160,"May, Dustin","2021-04-25","93","31.2","0.000","0.000","0.000","0.000","0.000","0.038","0.037","0","8","76.4","13.7","3282","86.7","86.76","3","9","20","0.1","6.49","116","164","121","150","298","314","294"
"29",450203,"Morton, Charlie","2021-08-01","87","33.3","0.000","0.000","0.000","0.000","0.000","0.051","0.057","0","8","86.3","2.8","3066","81.1","81.16","4","11","18","0.1","6.32","114","154","147","142","297","321","303"
"29",425794,"Wainwright, Adam","2021-04-14","85","34.1","0.375","0.000","0.429","0.375","0.330","0.204","0.215","3","8","79.6","2.7","2789","73.9","73.21","8","18","11","-0.7","6.40","107","155","119","144","303","323","301"
"29",592717,"Sanchez, Aaron","2021-04-27","82","35.4","0.000","0.000","0.000","0.000","0.000","0.067","0.071","0","7","70.0","23.0","2418","74.5","74.66","4","12","17","0.2","6.61","113","158","118","151","303","320","294"
